2022-05-23 09:17:15,794 [Worker-5: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-05-23 09:24:49,759 [Worker-10: Creating project "bankstatement"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: dev.bank:bankstatement:0.0.1-SNAPSHOT @ C:\BigData\02.backend\3.oop\bankstatement\pom.xml.
2022-05-23 09:24:51,261 [Worker-10: Creating project "bankstatement"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /bankstatement/src/main/java
2022-05-23 09:24:51,264 [Worker-10: Creating project "bankstatement"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /bankstatement/src/main/resources
2022-05-23 09:24:51,302 [Worker-10: Creating project "bankstatement"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /bankstatement/src/test/java
2022-05-23 09:24:51,302 [Worker-10: Creating project "bankstatement"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /bankstatement/src/test/resources
2022-05-23 09:24:52,449 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:24:52,457 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:24:52,458 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:24:52,459 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:27:09,640 [Worker-19: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: dev.bank:bankstatement:0.0.1-SNAPSHOT @ C:\BigData\02.backend\3.oop\bankstatement\pom.xml.
2022-05-23 09:27:09,941 [Worker-19: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:27:09,948 [Worker-19: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:27:09,950 [Worker-19: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:27:09,951 [Worker-19: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:28:13,664 [Worker-10: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-05-23 09:28:14,163 [Worker-10: Updating Maven Project] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: dev.bank:bankstatement:0.0.1-SNAPSHOT @ C:\BigData\02.backend\3.oop\bankstatement\pom.xml.
2022-05-23 09:28:14,335 [Worker-10: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /bankstatement/src/main/java
2022-05-23 09:28:14,336 [Worker-10: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /bankstatement/src/main/resources
2022-05-23 09:28:14,337 [Worker-10: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /bankstatement/src/test/java
2022-05-23 09:28:14,337 [Worker-10: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /bankstatement/src/test/resources
2022-05-23 09:28:14,581 [Worker-10: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2022-05-23 09:28:14,730 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:28:14,732 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:28:14,735 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:28:14,736 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:35:41,672 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:35:41,710 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:35:41,719 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
